name;bool_val
Полесск;0
Правдинск;0
Светлогорск;0
Светлый;0
Славск;0
Советск;0
Черняховск;0
Аршань;1
Каспийский;1
Комсомольский;1
Малые Дербеты;1
Приютное;1
Советское;1
Троицкое;1
Утта;1
Цаган-Аман;1
Элиста;1
Юста;1
Яшалта;1
Яшкуль;1
Бабынино;1
Балабаново;1
Барятино;1
Белоусово;1
Бетлица;1
Боровск;1
Дугна;1
Дудоровский;1
Думиничи;1
Еленский;1
Жиздра;1
Износки;1
Калуга;1
Киров;1
Козельск;1
Кондрово;1
Людиново;1
Малоярославец;1
Медынь;1
Мещовск;1
Мосальск;1
Обнинск;1
Перемышль;1
Спас-Деменск;1
Сухиничи;1
Таруса;1
Ульяново;1
Ферзиково;1
Хвастовичи;1
Юхнов;1
Атласово;0
Аянка;0
Большерецк;0
Вилючинск;0
Елизово;0
Ильпырский;0
Каменское;0
Кировский;0
Ключи;0
Крапивная;0
Мильково;0
Никольское;0
Озерновский;0
Оссора;0
Палана;0
Парень;0
Пахачи;0
Петропавловск-Камчатский;0
Тигиль;0
Тиличики;0
Усть-Большерецк;0
Усть-Камчатск;0
Амбарный;1
Беломорск;1
Валаам;1
Вирандозеро;1
Гирвас;1
Деревянка;1
Идель;1
Ильинский;1
Импалахти;1
Калевала;1
Кемь;1
Кестеньга;1
Кондопога;1
Костомукша;1
Лахденпохья;1
Лоухи;1
Медвежьегорск;1
Муезерский;1
Олонец;1
Петрозаводск;1
Питкяранта;1
Повенец;1
Пряжа;1
Пудож;1
Сегежа;1
Сортавала;1
Софпорог;1
Суоярви;1
Анжеро-Судженск;0
Барзас;0
Белово;0
Белогорск;0
Березовский;0
Грамотеино;0
Гурьевск;0
Ижморский;0
Итатский;0
Калтан;0
Кедровка;0
Кемерово;0
Киселевск;0
Крапивинский;0
Ленинск-Кузнецкий;0
Мариинск;0
Междуреченск;0
Мыски;0
Новокузнецк;0
Осинники;0
Прокопьевск;0
Промышленная;0
Тайга;0
Таштагол;0
Тисуль;0
Топки;0
Тяжинский;0
Юрга;0
Яшкино;0
Яя;0
Арбаж;1
Аркуль;1
Белая Холуница;1
Богородское;1
Боровой;1
Верхошижемье;1
Вятские Поляны;1
Зуевка;1
Каринторф;1
Кикнур;1
Кильмезь;1
Киров;1
Кирово-Чепецк;1
Кирс;1
Кобра;1
Котельнич;1
Кумены;1
Ленинское;1
Луза;1
Малмыж;1
Мураши;1
Нагорск;1
Нема;1
Нововятск;1
Нолинск;1
Омутнинск;1
Опарино;1
Оричи;1
Пижанка;1
Подосиновец;1
Санчурск;1
Свеча;1
Слободской;1
Советск;1
Суна;1
Тужа;1
Уни;1
Уржум;1
Фаленки;1
Халтурин;1
Юрья;1
Яранск;1
Абезь;0
Айкино;0
Верхняя Инта;0
Визинга;0
Водный;0
Вожаель;0
Воркута;0
Вуктыл;0
Гешарт;0
Елецкий;0
Емва;0
Заполярный;0
Ижма;0
Инта;0
Ираель;0
Каджером;0
Кажым;0
Кожым;0
Койгородок;0
Корткерос;0
Кослан;0
Объячево;0
Печора;0
Сосногорск;0
Сыктывкар;0
Троицко-Печерск;0
Усинск;0
Усогорск;0
Усть-Кулом;0
Усть-Цильма;0
Ухта;0
Антропово;1
Боговарово;1
Буй;1
Волгореченск;1
Галич;1
Горчуха;1
Зебляки;1
Кадый;1
Кологрив;1
Кострома;1
Красное-на-Волге;1
Макарьев;1
Мантурово;1
